description	level_1
天恩-墨西哥素熱狗 -	生鮮冷藏
40元文具	生活百貨
Toshiba RGB 星芒40W LED 美肌吸頂燈	生活百貨
白菜魯肉煲飯(外)	生鮮冷藏
健身環大冒險 NS Switch 周邊配件 彈力透氣綁帶 綁腿帶 一長一短 兩入 魔鬼氈 可水洗 替換腿帶 副廠	戶外休閒
Panasonic國際牌 13KG 變頻節能直立式洗衣機 NA-V130GT-L	大型家電/視聽影音
飛柔洗髮1000ml-熱油+200g	美容沐浴
KR135活力火雞筋肉捲(短)	寵物
(新)萬寶路軟包-紅條	菸/酒
綠豆奶奶	食品雜貨
-西班牙NBP-天然香茅防蚤頸圈 防蚤項圈 有中小型犬/大型犬/貓用三種規格	寵物
399元寵物背包箱	寵物
鮮魚味噌湯 2021-06-28 k9qv-llob	其他消費
&OPEN 350	餐飲消費
阿薩姆蘋果-400ml	飲料沖泡
芝士蓋烏瓦	餐飲消費
福州燕餃	冷凍食品
台灣現貨 免穿內衣 大尺碼 罩杯背心 內衣背心 無鋼圈背心 無袖背心 女生背心 彈力背心 莫代爾罩杯背心 胸墊背心	服飾與配件精品
舒芙仕女除毛刀把中性保濕肌膚質	美妝護理
刀劍神域02：艾恩葛朗特	其他消費
【7101725041】安妮兔1洗1沐3皂禮盒	美容沐浴
鬼滅之刃玻璃耳環-?門炭治郎	生活百貨
【BuyJM】低甲醛防潑水桌上置物架/螢幕架	傢俱寢飾
Chubby防水收納袋(L)-藍-專案	生活百貨
【DaoDi】第二代加寬落地式掛衣架－尺寸雙桿(衣櫃/晾衣架/ 曬衣架/衣帽架／工業簡約風吊衣架)	傢俱寢飾
澳洲極黑牛-燒肉	生鮮冷藏
檸香小青	餐飲消費
大人廟Q蛋	生鮮冷藏
韓國不倒翁泡菜拉麵 120g(5包入)	泡麵罐頭
布娜飛8吋手工薄皮披薩	冷凍食品
百靈QQ軟糖/ 迷你熊造型	零食點心
No.15哥倫比亞 那玲瓏 水洗	其他消費
南王VP肥皂100gx6入	居家清潔
＊【老協珍】海味街烏參佛跳牆(1639g 固形物639g)	冷凍食品
C-唐鑫-75%酒精液500ml	菸/酒
惠香黃草橄欖	泡麵罐頭
NAVY-斜紋縮口多袋工褲-情侶款-女【A2NA033】-黑L	服飾與配件精品
精神分析引論	書籍
低彩度質感打褶五分褲(霧綠-S)	服飾與配件精品
[一家五金行]含税 施工鞋 鋪PU 防熱 防水施工釘鞋 建築施工 貼磁磚 自流平水泥施工鞋 鋼鐵鞋 水泥施工 土水釘鞋	嬰幼兒與孕婦
代收-【涼夏5折】VEMAR率性時尚粗鍊兩用小方包(淡雅白)	服飾與配件精品
總統燉湯　十全草本豬腳(單點)	食品雜貨
E050010644心態致勝：全新成功心理學 (電子書)	書籍
紅茶牛奶	飲料沖泡
可可拿鐵-M	餐飲消費
Personality: Understanding Different People	3C電子/配件
藝覽寶可夢超Q貼紙包	生活百貨
福源花生醬-鹹	生鮮冷藏
日清兵衛咖哩烏龍碗麵	泡麵罐頭
【murmur】海藍(A4環保購物袋.可收納.雙側快取口袋)	其他消費
金萱多拿滋	其他消費
和風炸雞 2021-09-08 y7mg-7yrj	餐飲消費
【高露潔】自然之萃 舒護牙齦牙膏40g(牙齦護理/萃取蜂膠)	美容沐浴
極鮮綜合魚片鍋	餐飲消費
【模力紅】 邦寶 積木 櫻桃小丸子系列 冰淇淋店	戶外休閒
獨門煙燻	餐飲消費
味味排骨雞湯麵-碗	泡麵罐頭
乳酸多多冰棒	冷凍食品
IPhone11英國Tech21抗衝擊PURE Shimmer-虹彩粉29557	其他消費
寄-阿里山旅行禮盒	戶外休閒
奶香蕈菇雞肉水波蛋燉飯	餐飲消費
50186011 Batman刷毛圓領衫-03-男 (麻花灰 - S)	服飾與配件精品
外- 單炸豬排	餐飲消費
N011061460【COACH】時尚經典女性淡香水30ml(贈送身體乳100ml)	美容沐浴
兒童牙刷組	嬰幼兒與孕婦
二合一亮澤飾底乳　　　　　　	美容沐浴
